"description","url"
"Eagle, Bird of Prey, Majestic, Flying, Powerful, Wildlife, Dramatic, Sky, Freedom, Landscape","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image1.jpg"
"Mountain, River, Alpine, Snowy, Meadow, Nature, Majestic, Wilderness, Pristine, Landscape","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image2.jpg"
"Steam Train, Locomotive, Railroad, Mountains, Forest, Dramatic, Nostalgia, Moody, Journey, Vintage","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image3.jpg"
"Sunset, Ocean, Seascape, Vibrant, Serene, Tranquil, Purple, Shoreline, Dramatic, Long Exposure","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image4.jpg"
"Car, Automotive, Modified, Cinematic, Luxury, Aggressive, Gritty, Helicopter, Custom Rims, Sunset Vibe","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image5.jpg"
"Tree, Sunrise, Reflection, Water, Winter, Serene, Tranquil, Pastel, Landscape, Ethereal","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image6.jpg"
"Mountain, Alpine Lake, Turquoise Water, Forest, Reflection, Blue Sky, Serene, Tranquil, Scenic, Idyllic","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image7.jpg"
"Fjord, Norway, Majestic, Red House, Cabin, Dramatic Sky, Landscape, Serene, Vacation, Mountainscape","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image8.jpg"
"Alpine, Mountain Range, Lake Reflection, Wilderness, Serene, Majestic, Autumn Landscape, High Altitude, Clear Water, Peaceful","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image9.jpg"
"Grand Teton, Mountain Range, Split Rail Fence, Meadow, Evergreen Trees, Majestic, Rustic, Clear Sky, Wilderness, Tranquil","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image10.jpg"
"Mountain, Rainbow, Majestic, Dreamy, Landscape, Snowcap, Ethereal, Vibrant, Fantasy, Aurora","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/sigol-eseo-kkumkkuneun-mujigae.jpg"
"High-Speed Train, Futuristic, Rail Travel, Speed, Modern Transportation, Aerodynamic, Dynamic, Sunset Sky, Efficiency, Commute","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/image_train.jpg"
"Moon, Ocean, Night Sky, Moonlight, Clouds, Dreamy, Mystical, Serene, Cosmic, Ethereal","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/moon & sea.jpg"
"Mountains, Rock Peaks, Landscape, Blue Sky, Forest, Majestic, Rugged, Panoramic, Hiking, Serene","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/seorak_m.t._gongnyong_ridge.jpg"
"Hot Air Balloon, Safari, Sunrise, Adventure, Travel, Serene, Africa, Exotic, Majestic, Sky","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/boopathi-rajaa-nedunchezhiyan-03e47qruswq-unsplash.jpg"
"Airplane, Tropical, Coastline, Travel, Ocean, Jungle, Vacation, Adventure, Sky, Exotic","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/pexels-freestockpro-1004584.jpg"
"Planet, Galaxy, Space, Asteroids, Nebula, Sci-Fi, Cosmic, Blue, Mysterious, Dramatic","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/unseoggwa-gasang-gong-gan-baegyeong.jpg"
"Art (940581-popular-disney-wallpaper-for-computer-1920x1080-for-iphone-5.jpg)","https://raw.githubusercontent.com/luisfynn/render_dify_project/main/static/images/940581-popular-disney-wallpaper-for-computer-1920x1080-for-iphone-5.jpg"
